month,candidate_theme,post_count,total_posts,mapped_posts,share_all_posts,share_mapped_posts,three_month_share_all_posts
2022-12-01,Work arrangements and control,24,2276,429,0.01054481546572935,0.055944055944055944,0.011893589577341783
2022-12-01,Workplace authority and interpersonal conflict,34,2276,429,0.014938488576449912,0.07925407925407925,0.01282809171541894
2023-01-01,Career precarity and exit,67,2242,411,0.029884032114183764,0.1630170316301703,0.028718982784459335
2023-01-01,Collective worker power and rights,10,2242,411,0.0044603033006244425,0.024330900243309004,0.004474168110042244
2023-01-01,Compensation and pay rights,81,2242,411,0.03612845673505798,0.19708029197080293,0.03695725008342137
2023-01-01,Health safety and attendance,55,2242,411,0.024531668153434435,0.13381995133819952,0.03124036374059316
2023-01-01,Recruitment and labor market,44,2242,411,0.019625334522747548,0.1070559610705596,0.018943533859260734
2023-01-01,Scheduling hours and time off,60,2242,411,0.026761819803746655,0.145985401459854,0.029685953233063538
2023-01-01,Service work and tips,33,2242,411,0.014719000892060661,0.08029197080291971,0.011343250595469105
2023-01-01,Work arrangements and control,29,2242,411,0.012934879571810883,0.0705596107055961,0.014087140308621703
2023-01-01,Workplace authority and interpersonal conflict,32,2242,411,0.014272970561998216,0.07785888077858881,0.016674547293188294
2023-02-01,Career precarity and exit,52,1970,403,0.026395939086294416,0.12903225806451613,0.028311552647204887
2023-02-01,Collective worker power and rights,9,1970,403,0.004568527918781726,0.022332506203473945,0.004304737490813874
2023-02-01,Compensation and pay rights,78,1970,403,0.03959390862944162,0.1935483870967742,0.04013474992480245
2023-02-01,Health safety and attendance,61,1970,403,0.030964467005076143,0.1513647642679901,0.030478637249696173
2023-02-01,Recruitment and labor market,43,1970,403,0.02182741116751269,0.10669975186104218,0.021102671746194887
2023-02-01,Scheduling hours and time off,63,1970,403,0.03197969543147208,0.15632754342431762,0.028160722012192874
2023-02-01,Service work and tips,19,1970,403,0.009644670050761422,0.04714640198511166,0.01216849578618596
2023-02-01,Work arrangements and control,37,1970,403,0.018781725888324875,0.09181141439205956,0.01461947395862385
2023-02-01,Workplace authority and interpersonal conflict,41,1970,403,0.02081218274111675,0.10173697270471464,0.01703745032396207
2023-03-01,Career precarity and exit,59,2059,414,0.028654686741136474,0.14251207729468598,0.02778030291008664
2023-03-01,Collective worker power and rights,8,2059,414,0.003885381253035454,0.01932367149758454,0.004867990224144063
2023-03-01,Compensation and pay rights,92,2059,414,0.044681884409907724,0.2222222222222222,0.043057080664612966
2023-03-01,Health safety and attendance,74,2059,414,0.03593977659057795,0.178743961352657,0.030706498582725204
2023-03-01,Recruitment and labor market,45,2059,414,0.021855269548324428,0.10869565217391304,0.021120959172601716
2023-03-01,Scheduling hours and time off,53,2059,414,0.025740650801359885,0.1280193236714976,0.0292852158619485
2023-03-01,Service work and tips,25,2059,414,0.012141816415735794,0.06038647342995169,0.011772207255950079
2023-03-01,Work arrangements and control,25,2059,414,0.012141816415735794,0.06038647342995169,0.015022894585158394
2023-03-01,Workplace authority and interpersonal conflict,33,2059,414,0.016027197668771247,0.07971014492753623,0.016789838570413673
2023-04-01,Career precarity and exit,46,1626,318,0.028290282902829027,0.14465408805031446,0.03054733926851327
2023-04-01,Collective worker power and rights,10,1626,318,0.006150061500615006,0.031446540880503145,0.005071368886121015
2023-04-01,Compensation and pay rights,73,1626,318,0.04489544895448955,0.22955974842767296,0.04280577088324722
